3, 4, 1, 2, 0, 7, 8, 6, 5
7, 0, 5, 3, 6, 4, 1, 2, 8
0, 6, 1, 8, 7, 4, 3, 2, 5
4, 6, 7, 5, 2, 0, 8, 1, 3
4, 7, 3, 0, 6, 2, 1, 8, 5
5, 3, 1, 2, 4, 6, 7, 8, 0
1, 3, 2, 4, 5, 8, 6, 0, 7
2, 1, 6, 5, 0, 8, 7, 4, 3
7, 4, 1, 0, 3, 6, 2, 5, 8
0, 8, 2, 1, 3, 4, 6, 7, 5
3, 8, 1, 2, 7, 5, 6, 4, 0
7, 6, 8, 2, 5, 3, 4, 0, 1
6, 2, 0, 4, 5, 7, 1, 3, 8
0, 6, 2, 5, 1, 3, 8, 4, 7
7, 6, 3, 2, 0, 8, 4, 1, 5
3, 7, 1, 2, 4, 5, 8, 0, 6
7, 0, 4, 1, 2, 8, 5, 3, 6
1, 3, 6, 4, 2, 5, 7, 8, 0
7, 0, 4, 3, 5, 1, 8, 6, 2
8, 2, 0, 4, 3, 1, 7, 6, 5
7, 2, 3, 6, 1, 0, 4, 8, 5
2, 1, 7, 6, 8, 3, 4, 0, 5
7, 4, 5, 6, 3, 2, 0, 8, 1
3, 5, 6, 4, 0, 8, 7, 2, 1
7, 3, 0, 2, 1, 4, 6, 5, 8
5, 2, 1, 8, 4, 0, 7, 3, 6
4, 8, 7, 6, 3, 5, 0, 1, 2
4, 6, 1, 5, 7, 2, 0, 3, 8
7, 6, 0, 8, 3, 5, 1, 2, 4
4, 0, 7, 2, 1, 6, 8, 3, 5
1, 0, 8, 3, 2, 6, 4, 7, 5
6, 8, 1, 5, 0, 7, 4, 2, 3
5, 2, 0, 4, 3, 7, 6, 1, 8
7, 4, 0, 8, 1, 2, 5, 6, 3
8, 7, 2, 0, 6, 3, 5, 1, 4
1, 2, 7, 3, 5, 8, 6, 4, 0
1, 5, 2, 8, 0, 7, 3, 6, 4
0, 4, 1, 5, 2, 8, 7, 6, 3
0, 3, 7, 4, 6, 8, 2, 5, 1
2, 5, 4, 6, 1, 0, 7, 8, 3
2, 7, 3, 0, 5, 6, 4, 1, 8
0, 2, 1, 4, 8, 6, 7, 5, 3
6, 0, 7, 5, 2, 4, 1, 3, 8
3, 0, 5, 6, 4, 1, 8, 2, 7
8, 2, 5, 0, 7, 3, 4, 6, 1
4, 7, 1, 5, 6, 8, 0, 2, 3
7, 0, 1, 5, 6, 4, 3, 2, 8
1, 5, 3, 4, 7, 8, 6, 0, 2
0, 1, 5, 7, 6, 2, 3, 8, 4
7, 1, 0, 6, 8, 2, 3, 4, 5
3, 6, 9, 2, 5, 10, 7, 11, 8, 12, 14, 4, 15, 1, 0, 13
9, 12, 5, 2, 13, 1, 15, 11, 4, 7, 10, 3, 0, 6, 8, 14
7, 14, 2, 15, 9, 12, 11, 3, 6, 8, 0, 5, 13, 1, 10, 4
15, 11, 8, 3, 5, 10, 13, 0, 4, 2, 14, 12, 6, 1, 9, 7
15, 12, 6, 10, 9, 1, 7, 0, 4, 3, 13, 5, 8, 2, 11, 14
0, 15, 9, 8, 2, 7, 11, 1, 10, 14, 4, 12, 5, 13, 6, 3
7, 13, 3, 12, 2, 0, 6, 10, 15, 4, 1, 9, 11, 5, 14, 8
0, 3, 15, 13, 12, 14, 11, 8, 5, 10, 7, 9, 1, 6, 4, 2
5, 2, 13, 7, 0, 4, 9, 10, 11, 14, 1, 15, 12, 6, 3, 8
1, 12, 9, 10, 3, 13, 0, 4, 2, 14, 8, 5, 6, 15, 11, 7
13, 4, 0, 6, 11, 10, 7, 12, 15, 14, 1, 9, 3, 8, 5, 2
10, 13, 3, 9, 7, 2, 14, 1, 0, 12, 6, 8, 5, 11, 4, 15
8, 12, 13, 4, 1, 2, 0, 3, 14, 11, 7, 5, 6, 15, 9, 10
10, 3, 11, 4, 13, 12, 0, 6, 9, 8, 14, 5, 15, 1, 2, 7
10, 2, 14, 0, 5, 11, 6, 12, 3, 4, 9, 7, 1, 8, 15, 13
9, 10, 14, 15, 2, 12, 5, 0, 6, 11, 1, 13, 8, 4, 7, 3
15, 10, 12, 2, 0, 6, 8, 11, 9, 7, 13, 5, 14, 4, 1, 3
14, 10, 13, 3, 11, 6, 9, 7, 0, 12, 8, 15, 2, 5, 1, 4
15, 2, 7, 1, 10, 13, 14, 0, 9, 4, 3, 11, 5, 8, 6, 12
0, 14, 10, 7, 5, 15, 6, 1, 11, 4, 8, 3, 9, 12, 13, 2
7, 14, 1, 4, 11, 0, 3, 6, 12, 2, 13, 5, 10, 9, 15, 8
12, 8, 4, 14, 10, 7, 3, 6, 11, 0, 1, 5, 13, 15, 9, 2
7, 0, 14, 5, 8, 3, 15, 10, 2, 6, 13, 11, 1, 12, 9, 4
9, 6, 12, 8, 11, 4, 3, 1, 0, 2, 7, 5, 15, 13, 10, 14
2, 15, 1, 5, 6, 11, 7, 3, 12, 10, 13, 9, 14, 0, 8, 4
4, 11, 8, 6, 0, 3, 14, 13, 10, 9, 2, 1, 12, 5, 7, 15
3, 9, 14, 7, 5, 0, 8, 1, 13, 4, 10, 12, 2, 15, 11, 6
4, 1, 3, 2, 8, 15, 6, 5, 14, 10, 9, 11, 0, 13, 7, 12
2, 4, 5, 13, 3, 12, 10, 11, 15, 6, 1, 7, 0, 8, 14, 9
15, 6, 2, 1, 12, 14, 10, 3, 13, 7, 8, 11, 4, 9, 5, 0
12, 10, 1, 5, 7, 14, 4, 8, 15, 9, 0, 2, 6, 13, 11, 3
0, 1, 12, 10, 8, 2, 4, 13, 14, 11, 15, 9, 3, 6, 7, 5
12, 7, 9, 13, 5, 2, 11, 3, 4, 6, 0, 1, 14, 15, 10, 8
5, 2, 1, 15, 11, 13, 4, 0, 6, 3, 14, 9, 8, 10, 7, 12
4, 9, 10, 7, 1, 8, 12, 11, 15, 3, 14, 2, 0, 5, 6, 13
3, 13, 10, 6, 4, 14, 8, 7, 5, 0, 11, 12, 15, 1, 2, 9
2, 13, 15, 1, 6, 11, 14, 4, 12, 3, 8, 10, 5, 7, 9, 0
11, 8, 12, 1, 14, 5, 0, 4, 7, 10, 15, 6, 9, 2, 13, 3
2, 10, 11, 13, 7, 5, 9, 8, 12, 6, 14, 1, 4, 3, 0, 15
7, 13, 8, 5, 10, 14, 15, 3, 0, 9, 11, 4, 6, 12, 2, 1
11, 13, 12, 0, 2, 3, 14, 4, 1, 8, 10, 9, 15, 7, 6, 5
7, 1, 10, 2, 6, 0, 8, 5, 14, 13, 4, 3, 9, 12, 15, 11
10, 2, 4, 7, 5, 13, 11, 15, 0, 3, 9, 12, 8, 14, 1, 6
